	TCGA-CESC	TCGA-HNSC	TCGA-LUSC	TCGA-ESCA	TCGA-BRCA	TCGA-GBM	TCGA-OV	TCGA-LUAD	TCGA-UCEC	TCGA-KIRC	TCGA-LGG	TCGA-THCA	TCGA-PRAD	TCGA-SKCM	TCGA-COAD	TCGA-STAD	TCGA-BLCA	TCGA-LIHC	TCGA-KIRP	TCGA-SARC	TCGA-PAAD	TCGA-PCPG	TCGA-READ	TCGA-TGCT	TCGA-THYM	TCGA-KICH	TCGA-ACC	TCGA-MESO	TCGA-UVM	TCGA-DLBC	TCGA-UCS	TCGA-CHOL
cisplatin	106.0	72.0	1.0					2.0	4.0					1.0		2.0				1.0	1.0				1.0			2.0				
carboplatin,paclitaxel	5.0	29.0	13.0	3.0	1.0		117.0	19.0	107.0					1.0		1.0	2.0														18.0	
5-fluorouracil,cisplatin	5.0	2.0		2.0												5.0																
cisplatin,gemcitabine	3.0		9.0					2.0									49.0	2.0		1.0								1.0				4.0
carboplatin,cisplatin,paclitaxel	3.0		1.0				25.0		5.0																1.0						2.0	
carboplatin	3.0	6.0	3.0				6.0	2.0	3.0															3.0							3.0	
paclitaxel	2.0	1.0			2.0			3.0	3.0																						1.0	
5-fluorouracil,amifostine,cisplatin	1.0																															
bleomycin,carboplatin,doxorubicin,gemcitabine	1.0																															
erbitux	1.0	10.0																														
aloxi,cisplatin	1.0																															
carboplatin,cyclophosphamide,doxorubicin	1.0								1.0																							
cisplatin,paclitaxel	1.0		1.0	1.0			21.0	1.0																								
bleomycin,cisplatin,hydrocortisone,mitomycin c,vincristine	1.0																															
cisplatin,paclitaxel,topotecan hcl	1.0																															
avastin,carboplatin,cisplatin,paclitaxel	1.0																															
topotecan	1.0																															
[not available]	1.0	12.0	8.0	1.0	5.0		3.0	7.0	2.0	1.0			1.0	17.0	1.0	2.0	6.0	5.0		1.0	2.0	1.0	1.0					2.0				
carboplatin,gemcitabine,irinotecan,paclitaxel	1.0																															
carboplatin,gemcitabine,vinorelbine,xeloda	1.0																															
