therapy	TCGA-CESC	TCGA-HNSC	TCGA-LUSC	TCGA-BRCA	TCGA-ACC	TCGA-BLCA	TCGA-CHOL	TCGA-COAD	TCGA-DLBC	TCGA-ESCA	TCGA-GBM	TCGA-KICH	TCGA-KIRC	TCGA-KIRP	TCGA-LGG	TCGA-LIHC	TCGA-LUAD	TCGA-MESO	TCGA-OV	TCGA-PAAD	TCGA-PRAD	TCGA-READ	TCGA-SARC	TCGA-SKCM	TCGA-STAD	TCGA-TGCT	TCGA-THCA	TCGA-THYM	TCGA-UCEC	TCGA-UCS	TCGA-UVM
cisplatin	105	71	1														2	2		1			1		2			1	3		
carboplatin,paclitaxel	5	29	11	1		2				3							15		5						1				94	18	
5-fluorouracil,cisplatin	5	2								1															3						
carboplatin	3	6	3														2									3			3	3	
carboplatin,cisplatin,paclitaxel	3																											1	4	2	
cisplatin,gemcitabine	3		8			49	3									2	2	1					1								
paclitaxel	2	1		2													3												2	1	
5-fluorouracil,amifostine,cisplatin	1																														
erbitux	1	10																													
cisplatin,paclitaxel,topotecan-hcl	1																														
cisplatin,paclitaxel	1		1							1							1		1												
carboplatin,gemcitabine,irinotecan,paclitaxel	1																														
carboplatin,gemcitabine,vinorelbine,xeloda	1																														
5-fluorouracil,carboplatin,cisplatin,paclitaxel	1																														
carboplatin,cyclophosphamide,doxorubicin	1																												1		
bleomycin,cisplatin,hydrocortisone,mitomycin-c,vincristine	1																														
bleomycin,carboplatin,doxorubicin,gemcitabine	1																														
avastin,carboplatin,cisplatin,paclitaxel	1																														
aloxi,cisplatin	1																														
topotecan	1																														
cisplatin,vectibix		5																													
cisplatin,erbitux		4																													
carboplatin,erbitux,paclitaxel		4																													
carboplatin,cisplatin,erbitux,paclitaxel		3																													
carboplatin,cisplatin		2																													
docetaxel,erbitux		2																													
erbitux,everolimus		1																													
methotrexate		1																													
cisplatin,docetaxel		1	10														8														
cisplatin,docetaxel,gemcitabine,oxaliplatin		1				1																									
cisplatin,docetaxel,xeloda		1																													
cisplatin,erbitux,paclitaxel		1																													
cisplatin,erbitux,eribulin		1																													
erbitux,paclitaxel		1																													
cisplatin,hsc-vaccine-injection,vorinostat,xeloda		1																													
carboplatin,lapatinib,paclitaxel		1																													
docetaxel,erbitux,px-866		1																													
5-fluorouracil,carboplatin,cisplatin,docetaxel,erbitux,paclitaxel		1																													
carboplatin,gemcitabine,methotrexate		1																													
carboplatin,irinotecan,paclitaxel		1																													
carboplatin,cisplatin,erbitux		1																													
5-fluorouracil,carboplatin,erbitux,paclitaxel		1																													
5-fluorouracil,cisplatin,docetaxel		1																													
[not-available],carboplatin,erbitux,methotrexate,paclitaxel,pemetrexed,xeloda		1																													
at-101,carboplatin,docetaxel,erbitux		1																													
bevacizumab,carboplatin,cisplatin,docetaxel,imc-a12,oxaliplatin,paclitaxel,pemetrexed		1																													
carboplatin,cisplatin,docetaxel,rigosertib		1																													
carboplatin,cisplatin,pemetrexed		1															6	1													
carboplatin,iressa		1																													
carboplatin,cisplatin,vectibix		1																													
carboplatin,cisplatin,xeloda,zometa		1																													
carboplatin,docetaxel		1	3	2															1										2		
carboplatin,docetaxel,erbitux,methotrexate,paclitaxel		1																													
carboplatin,erbitux,pemetrexed		1																													
5-fluorouracil,carboplatin,docetaxel,paclitaxel		1																													
cisplatin,vinorelbine			15														11														
cisplatin,etoposide			6														9									4		3			
carboplatin,vinorelbine			5														2														
carboplatin,gemcitabine			4			15				1							2														
carboplatin,docetaxel,gemcitabine			2																												
carboplatin,gemcitabine,paclitaxel			2							1							1														
cisplatin,docetaxel,gemcitabine			2			1																									
cisplatin,pemetrexed			1														16	15													
cisplatin,etoposide,zoledronic-acid			1																												
[not-available],cisplatin,vinorelbine			1																												
clinical-trial,gemcitabine,rec-mage3-as+as15-asci-vs-placebo			1																												
docetaxel			1	2													1						1								
docetaxel,gemcitabine			1																				14								
eloxatin			1																						1						
gemcitabine,tarceva,vinorelbine			1														1														
paclitaxel,tarceva			1																												
recmage3-as+as15-asci,placebo-vaccine			1																												
recprame+as15			1																												
tarceva			1														7														
cisplatin,docetaxel,gemcitabine,vinorelbine			1																												
chemo,-nos			1	1													3			2									1		
cisplatin,docetaxel,etoposide,zoledronic-acid			1																												
carboplatin,cisplatin,gemcitabine			1			2								1				1													
azd6244,carboplatin,docetaxel,gemcitabine,mk2206,paclitaxel,tarceva,vinorelbine			1																												
carboplatin,cav-trial,docetaxel,etoposide,irinotecan,vp-16			1																												
carboplatin,ccnu,cisplatin,cytoxan,doxorubicin,etoposide,vincristine			1																												
carboplatin,cisplatin,docetaxel,erbitux,gemcitabine,paclitaxel,pemetrexed,vinorelbine			1																												
carboplatin,cisplatin,docetaxel,erbitux,gemcitabine,paclitaxel,vinorelbine			1																												
carboplatin,cisplatin,etoposide,vinorelbine			1																												
carboplatin,cisplatin,gemcitabine,paclitaxel,reolysin			1																												
carboplatin,cisplatin,vinorelbine			1																												
carboplatin,docetaxel,gemcitabine,paclitaxel			1														1													1	
carboplatin,docetaxel,paclitaxel			1																										3	2	
carboplatin,docetaxel,paclitaxel,tarceva			1																												
carboplatin,etoposide			1																												
adriamycin,carboplatin,cytoxan,etoposide-(vp-16),topotecan,vincristine			1																												
temodal			1																												
arimidex				61																											
tamoxifen				47																				1					1		
cytoxan,docetaxel				19																											
cyclophosphamide,doxorubicin,paclitaxel				15																											
adriamycin,cytoxan,paclitaxel				15																											
arimidex,cytoxan,docetaxel				9																											
adriamycin+cyclophosphamide				8																											
adriamycin,cytoxan,docetaxel				8																											
cyclophosphamide,doxorubicin,paclitaxel,tamoxifen				7																											
cyclophosphamide,doxorubicin				7																											
5-fluorouracil,cyclophosphane,doxorubicin,tamoxifen				7																											
adriamycin,cytoxan				7												1															
femara				7																											
cyclophosphamide,docetaxel				6																											
adriamycin,cytoxan,paclitaxel,tamoxifen				6																											
cytoxan,doxorubicin,paclitaxel				6																											
arimidex,cyclophosphamide,doxorubicin,paclitaxel				6																											
arimidex,tamoxifen				6																											
cytoxan,doxorubicin,paclitaxel,tamoxifen				5																											
cytoxan,doxorubicin				5																											
cytoxan,docetaxel,tamoxifen				5																											
letrozole				5																											
arimidex,cyclophosphamide,docetaxel				5																											
5-fluorouracil,cyclophosphamide,methotrexate				4																											
adriamycin,cyclophosphamide				4																											
5-fluorouracil,cyclophosphamide,methotrexate,tamoxifen				4																											
adriamycin,cytoxan,docetaxel,tamoxifen				4																											
cytoxan,doxorubicin,letrozole,paclitaxel,tamoxifen				4																											
adriamycin,arimidex,cytoxan,paclitaxel				4																											
cyclophosphamide,docetaxel,tamoxifen				4																											
cyclophosphamide,docetaxel,doxorubicin				4																											
5-fluorouracil,cyclophosphamide,doxorubicin,tamoxifen				4																											
cyclophosphamide,doxorubicin,paclitaxel,tamoxifen,trastuzumab				3																											
cyclophosphamide,doxorubicin,tamoxifen				3																											
adriamycin,arimidex,cytoxan,docetaxel				3																											
5-fluorouracil,cyclophosphamide,docetaxel,epirubicin				3																											
adriamycin,cytoxan,herceptin,paclitaxel				3																											
adriamycin,cytoxan,docetaxel,femara				3																											
5-fluorouracil,arimidex,cyclophosphamide,methotrexate				3																											
5-fluorouracil,cyclophosphamide,epirubicin				3																											
5-flourouracil,cyclophosphamide,doxorubicin,paclitaxel				2																											
carboplatin,docetaxel,herceptin				2																											
adriamycin,arimidex,cytoxan,tamoxifen				2																											
adriamycin,cytoxan,femara,paclitaxel				2																											
cyclophosphamide,doxorubicin,paclitaxel,trastuzumab				2																											
arimidex,herceptin,paclitaxel				2																											
arimidex,clodronate,cyclophosphamide,doxorubicin,paclitaxel				2																											
arimidex,carboplatin,docetaxel,trastuzumab				2																											
arimidex,cytoxan,doxorubicin				2																											
carboplatin,docetaxel,trastuzumab				2																											
aromasin				2																											
arimidex,cytoxan,doxorubicin,paclitaxel,tamoxifen				2																											
5-fluorouracil,cyclophosphamide,doxorubicin				2																1											
5-fluorouracil,cytoxan,epirubicin,paclitaxel				2																											
5-fluorouracil,cytoxan,methotrexate				2																											
5-fluorouracil,adriamycin,cytoxan,paclitaxel				2																											
doxorubicine+cyclophosphamide,tamoxifen				2																											
5-fluorouracil,adriamycin,arimidex,cytoxan,paclitaxel,tamoxifen				2																											
5-fluorouracil,cyclophosphane,doxorubicin				2																											
nolvadex				2																											
5-fluorouracil,cyclophosphamide,docetaxel,epirubicin,exemestane				2																											
5-fluorouracil,arimidex,cytoxan,epirubicin,paclitaxel				2																											
herceptin,paclitaxel				2																											
cytoxan,doxorubicin,tamoxifen				2																											
carboplatin,ifosfamide,mesna-1,mesna-2,paclitaxel,vp-16				1																											
avastin,cytoxan,doxorubicin,paclitaxel				1																											
bevacizumab,cyclophosphamide,doxorubicin,goserelin,paclitaxel,tamoxifen				1																											
bevacizumab-or-placebo,cyclophosphamide,doxorubicin,paclitaxel				1																											
carboplatin,docetaxel,herceptin,tamoxifen				1																											
carboplatin,docetaxel,herceptin,trastuzumab				1																											
carboplatin,cytoxan,docetaxel,herceptin				1																											
methotrexate,mitomycin,mitoxantrone,tamoxifen				1																											
carboplatin,docetaxel,tamoxifen-citrate,trastuzumab				1																											
carboplatin,docetaxel,femara,herceptin				1																											
aromatase-exemestane				1																											
carboplatin,docetaxel,tamoxifen,trastuzumab				1																											
carboplatin,cyclophosphamide,letrozole				1																											
cytoxan,doxorubicin,paclitaxel,trastuzumab,trustuzumab				1																											
aromasin-(exemestane),tamoxifen				1																											
tch				1																											
arimidex,docetaxel,herceptin				1																											
arimidex,doxorubicin,paclitaxel				1																											
arimidex,exemestane				1																											
arimidex,exemestane,letrozole				1																											
xeloda				1	1			11														3			5						
arimidex,exemestane,tamoxifen				1																											
arimidex,femara				1																											
arimidex,fulvestrant,xeloda,zometa				1																											
arimidex,gemcitabine,tamoxifen,xeloda				1																											
arimidex,not-otherwise-specified,trastuzumab				1																											
aromasin,tamoxifen				1																											
tc				1																											
arimidex,paclitaxel				1																											
tamoxiphene+anastrozolum				1																											
arimidex,tamoxifen,tc				1																											
arimidex,trastuzumab				1																											
tamoxiphen+anastrazolum				1																											
aromasin,carboplatin,docetaxel,paclitaxel,trastuzumab				1																											
tamoxifen,zoladex				1																											
chemo,-nos,hormone,-nos				1																											
poly-e				1																											
cyclophospamide,doxorubicin,letrozole-(femara),paclitaxel				1																											
cisplatin,cyclophosphamide,docetaxel,doxorubicin				1																											
doxorubicine+cyclophosphamide+tamoxifen,tamoxiphene+leuporeline+gosereline				1																											
doxorubicine+cyclophosphamide+tamoxifen				1																											
doxorubicin,tamoxifen				1																											
doxorubicin+-cyclophosphamide				1																											
docetaxel,tamoxifen				1																											
cyclophosphamide,doxorubicine				1																											
cyclophosphamide,doxorubicine,letrozolum				1																											
cyclophosphamidum,doxorubicinum,paclitaxel,tamoxifen				1																											
cyclophosphane,doxorubicin				1																											
cyclophosphane,doxorubicin,letrozole,tamoxifen				1																											
cytoxan				1																											
cytoxan,docetaxel,doxorubicin				1																											
cytoxan,docetaxel,herceptin				1																											
denosumab,paclitaxel				1																											
cytoxan,docetaxel,paclitaxel,tamoxifen				1																											
cytoxan,paclitaxel,tamoxifen				1																											
cytoxan,docetaxel,tamoxifen,zoladex				1																											
cytoxan,docetaxel,zoladex				1																											
cytoxan,doxorubicin,exemestane,letrozole,paclitaxel,trastuzumab				1																											
cytoxan,doxorubicin,exemestane,paclitaxel,tamoxifen				1																											
arimidex,cytoxan,doxorubicin,paclitaxel,trastuzumab,trustuzumab				1																											
cyclophosphamide,doxorubicin,lupron,paclitaxel,tamoxifen				1																											
leuprolide-acetate-(lupron),paclitaxel,tamoxifen,zoledronic-acid				1																											
cyclophosphamide,doxorubicin,letrozole,prednisone,rituximab,vincristine				1																											
clodronate,cyclophosphamide,doxorubicin,paclitaxel,tamoxifen,triptorelin				1																											
cytoxan,doxorubicin,exemestane,paclitaxel,trastuzumab,triptorelin				1																											
letrozole,tamoxifen				1																											
letrozol				1																											
herceptin				1																											
cyclophosphamide,docetaxel,doxorubicin,femara				1																											
cyclophosphamide,docetaxel,doxorubicin,goserelin,tamoxifen				1																											
fareston,tamoxifen				1																											
doxorubicine-cyclophosphamide-tamoxifen				1																											
doxorubicine+cyclophosphamide,tamoxiphene				1																											
cyclophosphamide,docetaxel,epirubicoin,tamoxifen,zoledronic-acid				1																											
cyclophosphamide,docetaxel,gemcitabine,herceptin				1																											
cyclophosphamide,docetaxel,herceptin,letrozole				1																											
cyclophosphamide,doxetaxel,doxorubicin,femara				1																											
cyclophosphamide,doxil,doxorubicin,paclitaxel				1																											
doxorubicine+cyclophosphamide,paclitaxelum				1																											
cyclophosphamide,doxorubicin,femara,paclitaxel				1																											
cyclophosphamide,doxorubicin,herceptin,metformin,trastuzumab				1																											
cyclophosphamide,doxorubicin,letrozole,paclitaxel,tamoxifen				1																											
5-flourouracil,cyclophosphamide,doxorubicin				1																											
arimidex,cyclophosphamide,docetaxel,zoledronic-acid				1																											
arimidex,cytoxan,doxorubicin,paclitaxel				1																											
[not-available],arimidex,cytoxan,docetaxel,epirubicin,letrozole,xeloda				1																											
[not-available],femara				1																											
[unknown],aromasin				1																											
ac,herceptin,paclitaxel				1																											
ac,paclitaxel,tamoxifen				1																											
adriamicin,cyclophosphamid				1																											
adriamycin+cuclophosphamide				1																											
adriamycin+cyclophosphamid,tamoxifen				1																											
adriamycin,-cytoxan,-avastin,arimidex,aromasin,avastin,bevacizumab,cyclophosphamide,doxorubicin,paclitaxel,tamoxifen				1																											
adriamycin,aloxi,cytoxan				1																											
adriamycin,anastrazole,cyclophosphamide,paclitaxel,tamoxifen				1																											
adriamycin,arimidex,aromasin,cytoxan,femara,paclitaxel,tamoxifen				1																											
adriamycin,arimidex,bevacizumab,cytoxan,paclitaxel,tamoxifen				1																											
